0,"{'neg': 0.07, 'neu': 0.811, 'pos': 0.12, 'compound': 0.9442}",Positive
6,"{'neg': 0.085, 'neu': 0.8, 'pos': 0.115, 'compound': 0.7631}",Positive
29,"{'neg': 0.018, 'neu': 0.842, 'pos': 0.14, 'compound': 0.9865}",Positive
31,"{'neg': 0.094, 'neu': 0.801, 'pos': 0.105, 'compound': 0.3319}",Positive
34,"{'neg': 0.097, 'neu': 0.871, 'pos': 0.032, 'compound': -0.9195}",Negative
35,"{'neg': 0.044, 'neu': 0.786, 'pos': 0.17, 'compound': 0.7003}",Positive
47,"{'neg': 0.07, 'neu': 0.866, 'pos': 0.063, 'compound': -0.2163}",Negative
49,"{'neg': 0.033, 'neu': 0.88, 'pos': 0.087, 'compound': 0.9266}",Positive
54,"{'neg': 0.16, 'neu': 0.742, 'pos': 0.097, 'compound': -0.645}",Negative
64,"{'neg': 0.156, 'neu': 0.746, 'pos': 0.098, 'compound': -0.9682}",Negative
75,"{'neg': 0.089, 'neu': 0.832, 'pos': 0.079, 'compound': -0.8176}",Negative
82,"{'neg': 0.069, 'neu': 0.827, 'pos': 0.105, 'compound': 0.9375}",Positive
110,"{'neg': 0.127, 'neu': 0.873, 'pos': 0.0, 'compound': -0.9337}",Negative
111,"{'neg': 0.155, 'neu': 0.749, 'pos': 0.096, 'compound': -0.8646}",Negative
124,"{'neg': 0.077, 'neu': 0.832, 'pos': 0.091, 'compound': 0.3737}",Positive
129,"{'neg': 0.097, 'neu': 0.843, 'pos': 0.06, 'compound': -0.9404}",Negative
137,"{'neg': 0.031, 'neu': 0.756, 'pos': 0.213, 'compound': 0.9468}",Positive
143,"{'neg': 0.032, 'neu': 0.858, 'pos': 0.11, 'compound': 0.964}",Positive
144,"{'neg': 0.017, 'neu': 0.791, 'pos': 0.192, 'compound': 0.9902}",Positive
150,"{'neg': 0.128, 'neu': 0.716, 'pos': 0.155, 'compound': 0.8132}",Positive
160,"{'neg': 0.189, 'neu': 0.682, 'pos': 0.129, 'compound': -0.7553}",Negative
168,"{'neg': 0.098, 'neu': 0.87, 'pos': 0.032, 'compound': -0.7833}",Negative
172,"{'neg': 0.196, 'neu': 0.748, 'pos': 0.057, 'compound': -0.9965}",Negative
178,"{'neg': 0.018, 'neu': 0.835, 'pos': 0.147, 'compound': 0.9926}",Positive
184,"{'neg': 0.125, 'neu': 0.84, 'pos': 0.036, 'compound': -0.8823}",Negative
190,"{'neg': 0.141, 'neu': 0.772, 'pos': 0.087, 'compound': -0.9198}",Negative
191,"{'neg': 0.144, 'neu': 0.807, 'pos': 0.049, 'compound': -0.9724}",Negative
201,"{'neg': 0.118, 'neu': 0.733, 'pos': 0.148, 'compound': 0.7746}",Positive
212,"{'neg': 0.188, 'neu': 0.754, 'pos': 0.058, 'compound': -0.9959}",Negative
217,"{'neg': 0.343, 'neu': 0.609, 'pos': 0.048, 'compound': -0.9834}",Negative
221,"{'neg': 0.066, 'neu': 0.905, 'pos': 0.029, 'compound': -0.7419}",Negative
228,"{'neg': 0.064, 'neu': 0.862, 'pos': 0.074, 'compound': 0.343}",Positive
229,"{'neg': 0.121, 'neu': 0.852, 'pos': 0.026, 'compound': -0.9906}",Negative
234,"{'neg': 0.055, 'neu': 0.721, 'pos': 0.224, 'compound': 0.9842}",Positive
254,"{'neg': 0.065, 'neu': 0.772, 'pos': 0.163, 'compound': 0.8875}",Positive
260,"{'neg': 0.046, 'neu': 0.836, 'pos': 0.118, 'compound': 0.9868}",Positive
264,"{'neg': 0.034, 'neu': 0.777, 'pos': 0.189, 'compound': 0.9832}",Positive
274,"{'neg': 0.057, 'neu': 0.86, 'pos': 0.083, 'compound': 0.5067}",Positive
278,"{'neg': 0.177, 'neu': 0.745, 'pos': 0.078, 'compound': -0.9951}",Negative
280,"{'neg': 0.014, 'neu': 0.754, 'pos': 0.232, 'compound': 0.9643}",Positive
285,"{'neg': 0.064, 'neu': 0.858, 'pos': 0.078, 'compound': 0.7119}",Positive
290,"{'neg': 0.139, 'neu': 0.79, 'pos': 0.071, 'compound': -0.9161}",Negative
296,"{'neg': 0.165, 'neu': 0.758, 'pos': 0.077, 'compound': -0.9787}",Negative
298,"{'neg': 0.074, 'neu': 0.831, 'pos': 0.096, 'compound': 0.9307}",Positive
300,"{'neg': 0.104, 'neu': 0.834, 'pos': 0.063, 'compound': -0.8177}",Negative
305,"{'neg': 0.048, 'neu': 0.88, 'pos': 0.073, 'compound': 0.2255}",Positive
307,"{'neg': 0.073, 'neu': 0.854, 'pos': 0.073, 'compound': 0.0018}",Neutral
310,"{'neg': 0.112, 'neu': 0.826, 'pos': 0.063, 'compound': -0.9513}",Negative
312,"{'neg': 0.113, 'neu': 0.767, 'pos': 0.12, 'compound': 0.7266}",Positive
314,"{'neg': 0.088, 'neu': 0.764, 'pos': 0.147, 'compound': 0.9774}",Positive
317,"{'neg': 0.134, 'neu': 0.763, 'pos': 0.104, 'compound': -0.9752}",Negative
318,"{'neg': 0.134, 'neu': 0.777, 'pos': 0.089, 'compound': -0.8449}",Negative
328,"{'neg': 0.103, 'neu': 0.818, 'pos': 0.078, 'compound': -0.8042}",Negative
329,"{'neg': 0.049, 'neu': 0.881, 'pos': 0.07, 'compound': 0.9183}",Positive
330,"{'neg': 0.116, 'neu': 0.769, 'pos': 0.115, 'compound': -0.6573}",Negative
331,"{'neg': 0.202, 'neu': 0.738, 'pos': 0.061, 'compound': -0.9962}",Negative
339,"{'neg': 0.126, 'neu': 0.724, 'pos': 0.15, 'compound': 0.9055}",Positive
341,"{'neg': 0.089, 'neu': 0.883, 'pos': 0.028, 'compound': -0.8064}",Negative
345,"{'neg': 0.02, 'neu': 0.846, 'pos': 0.134, 'compound': 0.9969}",Positive
348,"{'neg': 0.041, 'neu': 0.934, 'pos': 0.025, 'compound': -0.0343}",Neutral
349,"{'neg': 0.147, 'neu': 0.742, 'pos': 0.111, 'compound': -0.9033}",Negative
351,"{'neg': 0.059, 'neu': 0.871, 'pos': 0.069, 'compound': 0.2023}",Positive
