1,"[[{'label': 'not depression', 'score': 0.8954110145568848}, {'label': 'severe', 'score': 0.057446978986263275}, {'label': 'moderate', 'score': 0.04714197665452957}]]"
2,"[[{'label': 'not depression', 'score': 0.9587162733078003}, {'label': 'moderate', 'score': 0.03283654898405075}, {'label': 'severe', 'score': 0.008447176776826382}]]"
3,"[[{'label': 'not depression', 'score': 0.8544564247131348}, {'label': 'moderate', 'score': 0.08697683364152908}, {'label': 'severe', 'score': 0.05856672674417496}]]"
4,"[[{'label': 'not depression', 'score': 0.9303481578826904}, {'label': 'moderate', 'score': 0.04741697385907173}, {'label': 'severe', 'score': 0.022234858945012093}]]"
5,"[[{'label': 'not depression', 'score': 0.9126186370849609}, {'label': 'moderate', 'score': 0.06446374207735062}, {'label': 'severe', 'score': 0.022917652502655983}]]"
6,"[[{'label': 'not depression', 'score': 0.9452760219573975}, {'label': 'moderate', 'score': 0.04305458813905716}, {'label': 'severe', 'score': 0.011669427156448364}]]"
7,"[[{'label': 'not depression', 'score': 0.9457687139511108}, {'label': 'moderate', 'score': 0.040437351912260056}, {'label': 'severe', 'score': 0.013793976977467537}]]"
8,"[[{'label': 'not depression', 'score': 0.9241268634796143}, {'label': 'moderate', 'score': 0.056895188987255096}, {'label': 'severe', 'score': 0.018977997824549675}]]"
9,"[[{'label': 'not depression', 'score': 0.9511154294013977}, {'label': 'moderate', 'score': 0.033651869744062424}, {'label': 'severe', 'score': 0.015232706442475319}]]"
10,"[[{'label': 'not depression', 'score': 0.9600684642791748}, {'label': 'moderate', 'score': 0.028027934953570366}, {'label': 'severe', 'score': 0.011903614737093449}]]"
11,"[[{'label': 'not depression', 'score': 0.9310732483863831}, {'label': 'moderate', 'score': 0.047314129769802094}, {'label': 'severe', 'score': 0.021612612530589104}]]"
12,"[[{'label': 'not depression', 'score': 0.9567728042602539}, {'label': 'moderate', 'score': 0.0336814820766449}, {'label': 'severe', 'score': 0.009545703418552876}]]"
13,"[[{'label': 'not depression', 'score': 0.959649384021759}, {'label': 'moderate', 'score': 0.030811980366706848}, {'label': 'severe', 'score': 0.009538608603179455}]]"
14,"[[{'label': 'not depression', 'score': 0.9367415904998779}, {'label': 'moderate', 'score': 0.04688194766640663}, {'label': 'severe', 'score': 0.016376448795199394}]]"
15,"[[{'label': 'not depression', 'score': 0.9296908378601074}, {'label': 'moderate', 'score': 0.05258912220597267}, {'label': 'severe', 'score': 0.017720038071274757}]]"
16,"[[{'label': 'not depression', 'score': 0.9524006843566895}, {'label': 'moderate', 'score': 0.03674791753292084}, {'label': 'severe', 'score': 0.010851393453776836}]]"
17,"[[{'label': 'not depression', 'score': 0.9369738698005676}, {'label': 'moderate', 'score': 0.05081469565629959}, {'label': 'severe', 'score': 0.012211459688842297}]]"
18,"[[{'label': 'not depression', 'score': 0.9085684418678284}, {'label': 'moderate', 'score': 0.05348560959100723}, {'label': 'severe', 'score': 0.037945933640003204}]]"
19,"[[{'label': 'not depression', 'score': 0.9333856105804443}, {'label': 'moderate', 'score': 0.044934503734111786}, {'label': 'severe', 'score': 0.021679937839508057}]]"
20,"[[{'label': 'not depression', 'score': 0.8484876751899719}, {'label': 'severe', 'score': 0.09441521018743515}, {'label': 'moderate', 'score': 0.0570971742272377}]]"
21,"[[{'label': 'not depression', 'score': 0.9360774755477905}, {'label': 'moderate', 'score': 0.03336062654852867}, {'label': 'severe', 'score': 0.030561868101358414}]]"
22,"[[{'label': 'not depression', 'score': 0.9063299894332886}, {'label': 'moderate', 'score': 0.07219832390546799}, {'label': 'severe', 'score': 0.021471619606018066}]]"
23,"[[{'label': 'not depression', 'score': 0.9502741694450378}, {'label': 'moderate', 'score': 0.03762204945087433}, {'label': 'severe', 'score': 0.012103797867894173}]]"
24,"[[{'label': 'not depression', 'score': 0.9410030245780945}, {'label': 'moderate', 'score': 0.04611222818493843}, {'label': 'severe', 'score': 0.012884728610515594}]]"
