1,"[[{'label': 'not depression', 'score': 0.9013594388961792}, {'label': 'moderate', 'score': 0.05868245288729668}, {'label': 'severe', 'score': 0.03995811939239502}]]"
2,"[[{'label': 'not depression', 'score': 0.9234433174133301}, {'label': 'moderate', 'score': 0.053125619888305664}, {'label': 'severe', 'score': 0.02343105711042881}]]"
3,"[[{'label': 'not depression', 'score': 0.903397798538208}, {'label': 'moderate', 'score': 0.05393952876329422}, {'label': 'severe', 'score': 0.042662639170885086}]]"
4,"[[{'label': 'not depression', 'score': 0.9222533702850342}, {'label': 'moderate', 'score': 0.052482251077890396}, {'label': 'severe', 'score': 0.02526441216468811}]]"
5,"[[{'label': 'not depression', 'score': 0.9244242310523987}, {'label': 'moderate', 'score': 0.04573911428451538}, {'label': 'severe', 'score': 0.02983665093779564}]]"
6,"[[{'label': 'not depression', 'score': 0.915499746799469}, {'label': 'moderate', 'score': 0.04949309304356575}, {'label': 'severe', 'score': 0.03500719368457794}]]"
7,"[[{'label': 'not depression', 'score': 0.9360395669937134}, {'label': 'moderate', 'score': 0.03840028867125511}, {'label': 'severe', 'score': 0.025560110807418823}]]"
8,"[[{'label': 'not depression', 'score': 0.9151307344436646}, {'label': 'moderate', 'score': 0.05183039605617523}, {'label': 'severe', 'score': 0.03303888812661171}]]"
9,"[[{'label': 'not depression', 'score': 0.9319900870323181}, {'label': 'moderate', 'score': 0.04529907926917076}, {'label': 'severe', 'score': 0.022710833698511124}]]"
10,"[[{'label': 'not depression', 'score': 0.9204593300819397}, {'label': 'moderate', 'score': 0.04861019179224968}, {'label': 'severe', 'score': 0.03093050792813301}]]"
11,"[[{'label': 'not depression', 'score': 0.9270051717758179}, {'label': 'moderate', 'score': 0.04713796451687813}, {'label': 'severe', 'score': 0.025856904685497284}]]"
12,"[[{'label': 'not depression', 'score': 0.9200310111045837}, {'label': 'moderate', 'score': 0.06767011433839798}, {'label': 'severe', 'score': 0.012298846617341042}]]"
